id	label	pos	prediction
467	0	IN DT NN PRP VBD RB VB PRP$ NN . 	1
140	0	PRP VBP VB IN PRP RB NNP . 	1
6	0	PRP VBD DT JJ NN IN VBG PRP . 	1
559	0	PRP$ NN VBZ VBN VBN . 	1
344	0	PRP VBP PRP TO VB PRP DT JJ NN . 	1
73	0	CC RB , NN VBD PRP RB RB . 	1
420	0	PRP VBP VBN TO VB IN DT JJ NN . 	1
145	0	RB , DT NN VBD JJ NNS . 	1
234	0	DT JJ NN VBZ IN NN VBZ NN JJ . 	1
220	0	PRP RB VBD DT JJ NN . 	1
359	0	IN PDT DT NNS PRP VBD JJ 	1
132	0	RB , PRP VBZ TO VB PRP$ JJ NN . 	1
477	0	PRP VBD RB DT JJ NN RB . 	1
786	1	PRP MD VB NN IN NN . 	0
56	0	CC MD PRP$ NN PRP VBZ JJ . 	1
24	0	RB VB DT JJ NNS POS NN IN NN 	1
51	0	PRP VBZ RB VBN NNS POS NN NN . 	1
375	0	VBP PRP VB IN VBG DT NN . 	1
594	0	WDT NNS MD PRP VB IN PRP . 	1
741	0	PRP MD RB VB VBN IN NNS CC NN . 	1
323	0	NN VBD NNP POS NNP RB IN NNP . 	1
61	0	PRP VBD RB CD NNS JJ . 	1
272	0	PRP VBZ JJ WRB NN VBZ NNS RB JJ . 	1
285	0	PRP VBD TO VB DT NN IN NNS . 	1
355	0	DT NN MD VB IN VBG NNS RB . 	1
535	0	PRP VBP RB VBG RB TO VBG VBG 	1
223	0	PRP VBZ RB VB TO VB IN NN RB . 	1
412	0	PRP VBP VBD DT NN IN CD CD NN 	1
176	0	RB VBZ DT NN PRP VBD IN : 	1
581	0	CC PRP VBP VBN NNS VBG NN . 	1
163	0	PRP VBP VBG RB IN VBG PRP$ JJ NN . 	1
248	0	PRP VBP PRP VBZ JJ VBG PRP . 	1
762	1	VBD RB JJ NN CC RB JJ NN . 	0
74	0	`` NNP VBD DT JJ NN . ''	1
113	0	PRP VBD PRP IN DT JJ NN TO VB . 	1
671	0	DT NN VBZ VBN NNP NNP NNP . 	1
104	0	CC NN VBD JJ CC JJ IN PRP$ NN . 	1
362	0	CC RB RB NN VBZ RB VBG . 	1
89	0	PRP$ NN VBD DT JJ NN , RB JJ . 	1
336	0	PRP VBP PRP RBR JJ IN DT NN NN . 	1
482	0	PRP MD RB VB PRP$ NN RB . 	1
803	0	PRP VBD VBN TO VB VBG . 	1
94	0	PRP VBZ RBR JJ IN VBG IN NN NNS . 	1
398	0	PRP VBP RB DT NN IN NN NNS RB . 	1
43	0	PRP VBP TO VB DT NN IN PRP . 	1
42	0	MD PRP VB PRP DT NN IN DT NN . 	1
329	0	WP VBP PRP VBP IN DT NN . 	1
167	0	PRP MD VB PRP$ NN IN NN RB RB . 	1
754	0	IN NN , PRP VBD DT JJ NN . 	1
462	0	VB DT NN CC RB VB PRP . 	1
178	0	RB , PRP VBP JJ IN NN . 	1
177	0	VB TO VB IN PRP RB 	1
589	0	DT NN RB VBD PRP . 	1
687	1	PRP VBP VBN RB NN IN PRP . 	0
257	0	WP JJR VBP PRP VB . 	1
404	0	RB , PRP VBP VBG PRP DT NN . 	1
335	0	VBG NNS VBZ DT JJ NN IN PRP . 	1
439	0	RB , NNS VBP VBN IN NN IN NN . 	1
382	0	IN PRP VBD TO VB DT NN . 	1
222	0	PRP MD RB VB DT NN TO VB VBD . 	1
468	0	RB DT NN IN NN VBD RB VBN . 	1
388	0	DT NN VBZ IN CD NNP IN NNP . 	1
324	0	RB DT NN VBD JJR IN DT NN . 	1
513	0	PRP VBP JJ IN PRP VBP PRP$ NN RB . 	1
9	0	WP VBP PRP VBG TO VB IN DT NN . 	1
22	0	CC PRP VBP VBG IN IN JJ NNS . 	1
356	0	PRP VBP DT JJ NNS . 	1
582	0	PRP VBZ DT JJ NN . 	1
545	0	DT VBN NN NN VBZ CD 	1
237	0	PRP VBP PRP IN VB PRP$ NN . 	1
93	0	PRP MD RB VB WRB JJ PRP VBD . 	1
570	0	PRP VBP JJ TO VB PDT DT NN .	1
542	0	NN VBD PRP IN DT . 	1
284	0	RB PRP VBD IN DT NN . 	1
184	0	NNS POS NNS VBP JJ . 	1
445	0	RB EX VBZ DT JJ NN : DT NN . 	1
153	0	JJ NNP NN PRP VBD DT JJ NN . 	1
75	0	PRP VBD DT RB JJ NN RB . 	1
794	0	DT VBZ DT JJS NN IN NNP . 	1
533	0	PRP VBP RB JJ IN VBG DT NN . 	1
277	0	CC PRP MD VB TO VB VBG CC VBG . 	1
68	0	DT JJ NN VBZ JJR IN DT NN . 	1
547	0	PRP MD VB TO VB 	1
188	0	IN NN , NN NNS . 	1
538	0	IN NN VBZ VBN JJ NNS IN DT NN . 	1
